,speed,time
512,9.80996,2014/1/12 22:35
513,10.3587,2014/1/12 23:05
514,9.89162,2014/1/12 23:35
515,10.5108,2014/1/13 0:05
516,10.7705,2014/1/13 0:35
517,9.79175,2014/1/13 1:05
518,9.5818,2014/1/13 1:35
519,9.08349,2014/1/13 2:05
520,7.0549,2014/1/13 2:35
521,7.87157,2014/1/13 3:05
522,6.7981,2014/1/13 3:35
523,5.25226,2014/1/13 4:05
524,6.85012,2014/1/13 4:35
525,5.32391,2014/1/13 5:05
526,4.39078,2014/1/13 5:35
527,3.97134,2014/1/13 6:35
528,4.14853,2014/1/13 7:05
529,5.3809,2014/1/13 7:35
530,6.65045,2014/1/13 8:05
531,5.83029,2014/1/13 8:35
532,2.39418,2014/1/13 9:05
533,1.3922,2014/1/13 9:35
534,1.96848,2014/1/13 10:05
535,1.44279,2014/1/13 10:35
536,2.41589,2014/1/13 11:05
537,5.83963,2014/1/13 11:35
538,5.00049,2014/1/13 12:05
539,6.25611,2014/1/13 12:35
540,5.16503,2014/1/13 13:35
541,6.51771,2014/1/13 14:05
542,3.89736,2014/1/13 14:35
543,3.35749,2014/1/13 15:35
544,3.01238,2014/1/13 16:05
545,6.58362,2014/1/13 16:35
546,8.27469,2014/1/13 17:35
547,7.50656,2014/1/13 18:05
548,8.43416,2014/1/13 19:05
549,7.33889,2014/1/13 19:35
550,6.52422,2014/1/13 20:05
551,4.62795,2014/1/13 20:35
552,3.841,2014/1/13 21:05
553,4.97581,2014/1/13 21:35
554,4.43045,2014/1/13 22:05
555,2.05493,2014/1/13 22:35
556,1.17015,2014/1/13 23:05
557,0.37131,2014/1/13 23:35
558,1.64199,2014/1/14 0:05
559,2.84769,2014/1/14 0:35
560,2.95509,2014/1/14 1:05
561,3.1728,2014/1/14 1:35
562,1.74485,2014/1/14 2:05
563,2.55952,2014/1/14 2:35
564,3.21767,2014/1/14 3:05
565,4.16213,2014/1/14 3:35
566,3.19166,2014/1/14 4:05
567,4.32487,2014/1/14 4:35
568,4.47898,2014/1/14 5:05
569,3.56958,2014/1/14 5:35
570,3.25838,2014/1/14 6:05
571,3.03178,2014/1/14 6:35
572,3.85541,2014/1/14 7:05
573,3.36293,2014/1/14 7:35
574,3.51305,2014/1/14 8:05
575,3.87416,2014/1/14 8:35
576,3.51965,2014/1/14 9:05
577,2.52449,2014/1/14 9:35
578,1.31558,2014/1/14 10:05
579,4.11107,2014/1/14 10:35
580,6.59306,2014/1/14 11:05
581,6.06509,2014/1/14 11:35
582,7.04941,2014/1/14 12:05
583,9.54409,2014/1/14 12:35
584,6.32368,2014/1/14 13:05
585,8.08614,2014/1/14 13:35
586,5.66791,2014/1/14 14:05
587,8.92066,2014/1/14 15:05
588,7.99746,2014/1/14 15:35
589,8.08968,2014/1/14 16:05
590,8.46573,2014/1/14 16:35
591,7.01946,2014/1/14 17:05
592,7.70474,2014/1/14 17:35
593,7.44788,2014/1/14 18:05
594,7.39466,2014/1/14 18:35
595,8.10895,2014/1/14 19:05
596,7.28238,2014/1/14 19:35
597,4.43512,2014/1/14 20:05
598,5.85307,2014/1/14 20:35
599,6.10598,2014/1/14 21:35
600,3.35362,2014/1/14 22:05
601,3.66604,2014/1/14 22:35
602,3.1457,2014/1/14 23:05
603,3.68366,2014/1/14 23:35
604,4.34626,2014/1/15 0:05
605,4.05849,2014/1/15 0:35
606,4.25768,2014/1/15 1:05
607,6.40227,2014/1/15 1:35
608,3.618,2014/1/15 2:05
609,4.29678,2014/1/15 2:35
610,3.4636,2014/1/15 3:05
611,5.42581,2014/1/15 3:35
612,3.12183,2014/1/15 4:05
613,3.65207,2014/1/15 4:35
614,5.01045,2014/1/15 5:05
615,3.3091,2014/1/15 5:35
616,3.62223,2014/1/15 6:05
617,5.092,2014/1/15 6:35
618,3.26116,2014/1/15 7:05
619,5.54957,2014/1/15 7:35
620,3.28273,2014/1/15 8:05
621,3.84292,2014/1/15 8:35
622,3.6875,2014/1/15 9:05
623,3.83206,2014/1/15 9:35
624,3.27577,2014/1/15 10:05
625,4.4036,2014/1/15 10:35
626,3.79993,2014/1/15 11:05
627,4.8712,2014/1/15 11:35
628,4.24566,2014/1/15 12:05
629,5.49346,2014/1/15 12:35
630,4.55018,2014/1/15 13:05
631,6.80731,2014/1/15 13:35
632,6.79566,2014/1/15 14:05
633,7.69745,2014/1/15 14:35
634,5.9496,2014/1/15 15:05
635,6.45828,2014/1/15 15:35
636,3.75308,2014/1/15 16:05
637,5.54543,2014/1/15 16:35
638,5.12459,2014/1/15 17:05
639,8.63913,2014/1/15 18:05
640,9.39802,2014/1/15 18:35
641,10.4116,2014/1/15 19:05
642,8.09013,2014/1/15 19:35
643,4.6643,2014/1/15 20:35
644,7.3233,2014/1/15 21:05
645,4.74629,2014/1/15 21:35
646,3.53763,2014/1/15 22:05
647,4.61347,2014/1/15 23:05
648,4.99895,2014/1/15 23:35
649,4.05391,2014/1/16 0:05
650,8.16347,2014/1/16 0:35
651,7.10285,2014/1/16 1:05
652,8.13032,2014/1/16 1:35
653,7.83167,2014/1/16 2:05
654,6.0924,2014/1/16 2:35
655,8.4323,2014/1/16 3:35
656,6.89526,2014/1/16 4:05
657,11.6481,2014/1/16 5:05
658,10.3432,2014/1/16 5:35
659,6.54636,2014/1/16 6:35
660,6.43538,2014/1/16 7:05
661,9.58556,2014/1/16 7:35
662,10.0532,2014/1/16 8:05
663,10.5663,2014/1/16 8:35
664,5.37115,2014/1/16 9:05
665,6.73042,2014/1/16 10:05
666,5.12947,2014/1/16 10:35
667,5.89446,2014/1/16 11:05
668,6.2235,2014/1/16 11:35
669,5.31114,2014/1/16 12:05
670,3.61052,2014/1/16 12:35
671,6.23901,2014/1/16 13:05
672,6.26351,2014/1/16 13:35
673,4.48479,2014/1/16 14:05
674,4.04213,2014/1/16 14:35
675,3.11249,2014/1/16 15:05
676,4.08124,2014/1/16 15:35
677,2.74433,2014/1/16 16:35
678,2.946,2014/1/16 17:05
679,0.85416,2014/1/16 17:35
680,0.46067,2014/1/16 18:05
681,1.66057,2014/1/16 18:35
682,2.07059,2014/1/16 19:05
683,2.79677,2014/1/16 19:35
684,4.28199,2014/1/16 20:35
685,5.84614,2014/1/16 21:05
686,8.38589,2014/1/16 21:35
687,7.3363,2014/1/16 22:05
688,7.10772,2014/1/16 22:35
689,9.08875,2014/1/16 23:05
690,9.42673,2014/1/16 23:35
